Course Code,Course Name,Short Name,Short Name Alt,Section,Section URL,Call Number,Points,Day/Time,Location,Enrollment,Notes,Instructor,Type,Method of Instruction,Course Description,Number,Division,Open To,Section key
COMSW4995,Spring 2026 Computer Science W4995 section 008,TOPICS IN COMPUTER SCIENCE,MACHINE LEARNING SECURITY,008,https://doc.sis.columbia.edu/subj/COMS/W4995-20261-008/,12375,3,F 12:10pm-2:00pm 825 Seeley W. Mudd Building,,"20 students (30 max) as of 11:06AM Monday, April 27, 2026",,"Suman Jana - e-mail , homepage",LECTURE,In-Person,Selected topics in computer science. Content and prerequisites vary between sections and semesters. May be repeated for credit. Check “topics course” webpage on the department website for more information on each section.,W4995,Interfaculty,"Barnard College, Columbia College, Engineering:Undergraduate, Engineering:Graduate, GSAS, General Studies, Journalism",20261COMS4995W008
COMSW4995,Spring 2026 Computer Science W4995 section 009,TOPICS IN COMPUTER SCIENCE,THRY ML INTERACT DECISION,009,https://doc.sis.columbia.edu/subj/COMS/W4995-20261-009/,12628,3,TR 1:10pm-2:25pm 415 Schapiro [SCEP],,"23 students (40 max) as of 11:06AM Monday, April 27, 2026",,Adam B Block,LECTURE,In-Person,Selected topics in computer science. Content and prerequisites vary between sections and semesters. May be repeated for credit. Check “topics course” webpage on the department website for more information on each section.,W4995,Interfaculty,"Barnard College, Columbia College, Engineering:Undergraduate, Engineering:Graduate, GSAS, General Studies, Journalism",20261COMS4995W009
COMSW4995,Spring 2026 Computer Science W4995 section 010,TOPICS IN COMPUTER SCIENCE,AI FOR SOFTWARE SECURITY,010,https://doc.sis.columbia.edu/subj/COMS/W4995-20261-010/,16839,3,TR 5:40pm-6:55pm 601B Sherman Fairchild Life Sciences Building,,"24 students (25 max) as of 11:06AM Monday, April 27, 2026",,Zhuo Zhang,LECTURE,In-Person,Selected topics in computer science. Content and prerequisites vary between sections and semesters. May be repeated for credit. Check “topics course” webpage on the department website for more information on each section.,W4995,Interfaculty,"Barnard College, Columbia College, Engineering:Undergraduate, Engineering:Graduate, GSAS, General Studies",20261COMS4995W010
COMSW4995,Spring 2026 Computer Science W4995 section 011,TOPICS IN COMPUTER SCIENCE,STRT STUDIO AI ACCEL BLDG,011,https://doc.sis.columbia.edu/subj/COMS/W4995-20261-011/,20140,3,TR 1:10pm-2:25pm 451 Computer Science Building,,"51 students (50 max) as of 11:06AM Monday, April 27, 2026",,Ken St. Clair,LECTURE,In-Person,Selected topics in computer science. Content and prerequisites vary between sections and semesters. May be repeated for credit. Check “topics course” webpage on the department website for more information on each section.,W4995,Interfaculty,,20261COMS4995W011
COMSW4995,Spring 2026 Computer Science W4995 section 012,TOPICS IN COMPUTER SCIENCE,TOPICS IN COMPUTER SCIENC,012,https://doc.sis.columbia.edu/subj/COMS/W4995-20261-012/,20388,3,F 2:00pm-5:00pm NONE NONE,,"138 students (150 max) as of 11:06AM Monday, April 27, 2026",,Lydia Chilton,LECTURE,In-Person,Selected topics in computer science. Content and prerequisites vary between sections and semesters. May be repeated for credit. Check “topics course” webpage on the department website for more information on each section.,W4995,Interfaculty,,20261COMS4995W012
CSEEW4119,Spring 2026 Computer Science and Electrical Engineering W4119 section 001,COMPUTER NETWORKS,,001,https://doc.sis.columbia.edu/subj/CSEE/W4119-20261-001/,12396,3,TR 11:40am-12:55pm 614 Schermerhorn Hall [SCH],,"135 students (140 max) as of 11:06AM Monday, April 27, 2026",,Xia Zhou,LECTURE,In-Person,"Introduction to computer networks and the technical foundations of the Internet, including applications, protocols, local area networks, algorithms for routing and congestion control, security, elementary performance evaluation. Several written and programming assignments required.",W4119,Interfaculty,"Barnard College, Columbia College, Engineering:Undergraduate, Engineering:Graduate, GSAS, General Studies, Journalism",20261CSEE4119W001
CSEEW4121,Spring 2026 Computer Science and Electrical Engineering W4121 section 001,COMPUTER SYSTEMS FOR DATA SCIENCE,COMPUTER SYSTEMS FOR DATA,001,https://doc.sis.columbia.edu/subj/CSEE/W4121-20261-001/,16119,3,W 4:10pm-6:40pm 301 Pupin Laboratories,,"192 students (200 max) as of 11:06AM Monday, April 27, 2026",,Waqar Aqeel,LECTURE,In-Person,"An introduction to computer architecture and distributed systems with an emphasis on warehouse scale computing systems. Topics will include fundamental tradeoffs in computer systems, hardware and software techniques for exploiting instruction-level parallelism, data-level parallelism and task level parallelism, scheduling, caching, prefetching, network and memory architecture, latency and throughput optimizations, specialization, and an introduction to programming data center computers.",W4121,School of Engineering and Applied Science: Graduate,"Engineering:Graduate, GSAS",20261CSEE4121W001
CSORE4231,Spring 2026 Computer Science and Operations Research E4231 section 001,ANALYSIS OF ALGORITHMS I,,001,https://doc.sis.columbia.edu/subj/CSOR/E4231-20261-001/,13263,3,MW 2:40pm-3:55pm 303 Uris Hall,,"11 students (50 max) as of 11:06AM Monday, April 27, 2026",,Daniel Bienstock,LECTURE,In-Person,"Prerequisites: COMS W3134, COMS W3136, or COMS W3137, and COMS W3203. Introduction to the design and analysis of efficient algorithms. Topics include models of computation, efficient sorting and searching, algorithms for algebraic problems, graph algorithms, dynamic programming, probabilistic methods, approximation algorithms, and NP-completeness.",E4231,School of Engineering and Applied Science: Graduate,,20261CSOR4231E001
EAEEE4257,Spring 2026 Earth and Environmental Engineering E4257 section 001,ENVIR DATA ANALYSIS & MODELING,ENVIR DATA ANALYSIS & MOD,001,https://doc.sis.columbia.edu/subj/EAEE/E4257-20261-001/,13037,3,MW 10:10am-11:25am 420 Pupin Laboratories,,"31 students (50 max) as of 11:06AM Monday, April 27, 2026",,Bolun Xu,LECTURE,In-Person,"Introduction parametric and non-parametric statistical models applied to climate and environmental data analysis. Time and space data analysis methods will be focused, including clustering, autoregressive models, trend analysis, Bayesian analysis, missing data imputation, geostatistics, principal components analysis. Application to problems of climate variation and change; hydrology; air, water and soil pollution dynamics; disease propagation; ecological change; and resource assessment. The class requires the use of R with hands-on programming applied to a current environmental data analysis problem.",E4257,School of Engineering and Applied Science: Graduate,,20261EAEE4257E001
ECBME6070,Spring 2026 Electrical Eng/ Computer Science/ Biomedical Engineering E6070 section 001,TPC NEUROSCI & DEEP LEARN,Comp. w. Brain Cir of MO,001,https://doc.sis.columbia.edu/subj/ECBM/E6070-20261-001/,11516,3,M 7:00pm-9:30pm 1127 Seeley W. Mudd Building,,"10 students (50 max) as of 11:06AM Monday, April 27, 2026",,"Aurel A Lazar - e-mail , homepage",LECTURE,In-Person,"Selected advanced topics in neuroscience and deep learning. Content varies from year to year, and different topics rotate through the course numbers 6070 to 6079.",E6070,School of Engineering and Applied Science: Graduate,"Engineering:Undergraduate, Engineering:Graduate, GSAS, General Studies",20261ECBM6070E001
